proveedor ,dependencia ,numero de expediente,hechos de irregularidad,objeto social ,sentido de resolucion,fecha de notificacion ,fecha de resolucion ,plazo ,monto ,nombre responsable de la informacion ,fecha de actualizacion ,
3R INNOVACIîN Y DISE„O  S.A. DE  C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0041/2013","	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO.","	3RINNOVACION@LIVE.COM.MX.","	SANCIONATORIA CON MULTA","	19/08/2014","	06/08/2014","	","	90664.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
DISTRIBUIDORA VARAMEDU  S.A. DE C.V.,"	ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL","	0011/2012","	LA EMPRESA DISTRIBUCIONES VARAMEDU  S.A DE C.V.  INCUMPLIî CON SUS OBLIGACIONES CONTRACTUALES AL OMITIR LA ENTREGA DE LAS PARTIDAS NO. 70  82  87  103 Y 113  PARA SU ENTREGA EN LOS CEFERESOS NOS. 1 ALTIPLANO  4 NOROESTE  2 OCCIDENTE  5 ORIENTE  6 SURESTE  8 NORPONIENTE Y CEFEREPSI  EN RFERENCIA A LA CONVOCATORIA DE LA LICITACIîN PòBLICA NACIONAL MIXTA NO. LA 036E00001-N11-2012.","	PROVEEDOR DE ARTêCULOS DE LIMPIEZA E HIGIENE","	SANCIONATORIA CON MULTA","	26/01/2015","	15/12/2014","	","	89730.00","	","	06/12/2018 08:12",
DISTRIBUIDORA XIBALBA  S.A. DE C.V.,"	INSTITUTO NACIONAL DE SALUD PòBLICA","	0001/2016","	MANIFESTO BAJO PROTESTA DE DECIR VERDAD NO ENCONTRARSE EN ALGUNO DE LOS SUPUESTOS ESTABLECIDOS EN LOS ARTICULOS 50 Y 60 DE LA LAASSP  NO OBSTANTE QUE SE ENCONTRABA INHABILITADO PARA PARTICIPAR EN PROCEDIMIENTOS DE CONTRATACION PUBLICA.","	COMPRA  IMPORTACION  EXPORTACION  DISTRIBUCION  REPRESENTACION Y COMERCIO DE ARTICULOS  DE LIMPIEZA  ALIMENTOS PROCESADOS  MATERIAS PRIMAS  ARTICULOS DE TLAPALERIA  FERRETERIA  PLOMERIA  MATERIAL PARA CONSTRUCCION Y ACABADOS  ZAPATOS  PLASTICOS  HULES  PAPELERIA  ARTICULOS ELECTRICOS Y ELECTRONICOS.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	15/02/2017","	14/02/2017","	1 A„O 6 MESES","	625797.00","	RAFAEL RESENDIZ SANCHEZ","	06/12/2018 08:12",
DISTRIBUIDORA XIBALBA  S.A. DE C.V.,"	ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL","	0009/2012","	LA EMPRESA DISTRIBUIDORA XIBALBA  S.A. DE C.V. INCUMPLIî CON LA ENTREGA DE LA TOTALIDAD DE LOS BIENES QUE LE FUERON ADJUDICADOS EN EL PEDIDO NO. 178 CON A„O DE SECUENCIA 2012  Y SU PEDIDO MODIFICATORIO PARA SU ENTREGA EN LOS CEFERESOS NOS. 3 NORESTE  4 NOROESTE  5 ORIENTE  6 SUROESTE  7 NORNOROESTE   8 NORPONIENTE  CEFERPSI Y COMPLEJO PENITENCIARIO ISLAS MARêAS  RELATIVO A LA LICITACIîN PòBLICA NACIONAL MIXTA NO. LA-036E00001-N14-2011  CUYO OBJETO FUƒ LA ADQUISICIîN DE ARTêCULOS PARA EL ASEO  LIMPIEZA E HIGIENE DE DICHOS CEFERESOS.","	PROVEEDOR DE ARTêCULOS PARA EL ASEO  LIMPIEZA E HIGIENE.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	23/09/2014","	11/09/2014","	3 MESES","	89730.00","	","	06/12/2018 08:12",
DISTRIBUIDORA XIBALBA  S.A. DE C.V.,"	ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL","	0010/2012","	LA EMPRESA DISTRIBUIDORA XIBALBA  S.A. DE C.V. INCUMPLIî CON LA ENTREGA DE LA TOTALIDAD DE LOS BIENES QUE LE FUERON ADJUDICADOS EN EL PEDIDO NO. 078 CON A„O DE SECUENCIA 2011  Y SU PEDIDO MODIFICATORIO PARA SU ENTREGA EN LOS CEFERESOS NOS. 3 NORESTE  4 NOROESTE  5 ORIENTE  6 SUROESTE  7 NORNOROESTE   8 NORPONIENTE  CEFERPSI Y COMPLEJO PENITENCIARIO ISLAS MARêAS  RELATIVO A LA LICITACIîN PòBLICA NACIONAL MIXTA NO. LA-036E00001-N14-2011  CUYO OBJETO FUƒ LA ADQUISICIîN DE ARTêCULOS PARA EL ASEO  LIMPIEZA E HIGIENE DE DICHOS CEFERESOS.","	PROVEEDOR DE ARTêCULOS PARA EL ASEO  LIMPIEZA E HIGIENE DE DICHOS CEFERESOS.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	10/12/2014","	10/12/2014","	3 MESES","	89730.00","	","	06/12/2018 08:12",
DISTROMED  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0040/2013","	LA EMPRESA DECLARî CON FALSEDAD Y SE CONDUJO CON DOLO  AL ENTREGAR BIENES DISTINTOS A LOS CONVENIDOS EN LOS CONTRATOS NOS. U120463 Y U120400","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	01/08/2014","	21/07/2014","	2 A„OS 2 MESES","	869503.50","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
DISTROMED  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0080/2013","	LA EMPRESA SE CONDUJO CON FALSEDAD Y ENTREGî BIENES CON ESPECIFICACIONES DISTINTAS A LAS PACTADAS EN EL CONTRATO NO. D130040.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	05/08/2016","	04/08/2016","	1 A„O 3 MESES","	100378.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
DISTROMED  S.A. DE.C.V,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0048/2017","	LA EMPRESA SUSCRIBIî CARTA DE FABRICANTE COMO DISTRIBUIDOR PRIMARIO PARA APOYAR AL FABRICANTE  CUANDO SE ENCONTRABA IMPEDIDA PARA ELLO DE MANERA DIRECTA O POR INTERPîSITA PERSONA  DERIVADO DE UNA INHABILITACIîN APLICADA CON LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PòBLICO.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	08/09/2017","	04/09/2017","	1 A„O 5 MESES","	701000.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
DISTROMED S.A. DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0070/2013","	60  FRACCIîN II  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PòBLICO.  <br>FUE SUJETA DE LA RESCISIîN DE UN CONTRATO EN DOS ENTIDADES DIFERENTES EN UN PLAZO DE TRES A„OS  TODA VEZ QUE EL  25 DE ABRIL DE 2013  EL INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES PARA LOS TRABAJADORES DEL ESTADO LE RESCINDIî EL CONTRATO NòMERO  1082 MC  PARA LA ENTREGA DE LAS CLAVES 060.168.2446  060.168.2537 Y 060.168.2560.; Y EL 24 DE JULIO DE 2013  EL INSTITUTO MEXICANO DEL SEGURO SOCIAL LE RESCINDIî EL CONTRATO NòMERO U120463 PARA LA ADQUISICIîN DE MATERIAL DE CURACIîN  MATERIAL RADIOLîGICO Y MATERIAL DE LABORATORIO GRUPOS 060  070 Y 080  PARA EL EJERCICIO FISCAL 2013.","	ADQUISICIîN DE MATERIAL DE CURACIîN  MATERIAL RADIOLîGICO Y MATERIAL DE LABORATORIO GRUPOS 060  070 Y 080  PARA CUBRIR NECESIDADES DEL IMSS (DELEGACIONES Y UMAES) Y LA SEDENA EJERCICIO FISCAL 2013 Y PARA EL ISSSTE DE OCTUBRE DE 2012 A DICIEMBRE DE 2013.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	17/02/2015","	12/02/2015","	1 A„O 6 MESES","	602268.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
DOLORES VIRGINIA ONTIVEROS DOMINGUEZ,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0025/2004","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	VENTA DE VIVERES","	SANCIONATORIA CON MULTA E INHABILITACIîN","	23/05/2006","	08/05/2006","	3 MESES","	67657.50","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
DOMINGO RAMêREZ BAUTISTA,"	DICONSA","	0004/2016","	OMITIO ENTRAGAR LA GARANTIA DE CUMPLIMIENTO INFRINGIENDO LO PREVISTO EN LOS ARTêCULOS 48 òLTIMO PçRRAFO Y 59 DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PUBLICO","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	22/04/2017","	07/04/2017","	3 MESES","	109560.00","	ROGELIO ELIZALDE MENCHACA","	06/12/2018 08:12",
DONCEL CONSULTORES  S.C.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0006/2012","	60 FRACCIîN IV  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PòBLICO. <br>PROPORCIONî INFORMACIîN FALSA EN LA CELEBRACIîN DEL CONTRATO CS-GTM-08/2010  DERIVADO DE LA LICITACIîN PòBLICA LPN-11290002-004-101  PARA LA PRESTACIîN DEL SERVICIO DE ADMINISTRACIîN DE PERSONAL EVENTUAL ESPECIALIZADO  CONVOCADA POR EL INSTITUTO NACIONAL DE ASTROFêSICA  îPTICA Y ELECTRîNICA  AL EXHIBIR UNA FIANZA DE CUMPLIMIENTO (2506 4867 0001000890 000000 0000)  SUPUESTAMENTE EXPEDIDA POR AFIANZADORA SOFIMEX  S.A. DE C.V.","	PRESTACIîN DEL SERVICIO DE ADMINISTRACIîN DE PERSONAL EVENTUAL ESPECIALIZADO.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	10/07/2012","	21/06/2012","	1 A„O","	344760.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
DONCEL CONSULTORES S C.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0005/2012","	60 FRACCIîN IV  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PòBLICO. <br>PROPORCIONî INFORMACIîN FALSA EN LA CELEBRACIîN DEL CONTRATO CS-GTM-08/2010  DERIVADO DE LA LICITACIîN PòBLICA LPN-11290002-004-101  PARA LA PRESTACIîN DEL SERVICIO DE ADMINISTRACIîN DE PERSONAL EVENTUAL ESPECIALIZADO  CONVOCADA POR EL INSTITUTO NACIONAL DE ASTROFêSICA  îPTICA Y ELECTRîNICA  AL EXHIBIR UNA FIANZA DE CUMPLIMIENTO APîCRIFA (1142449)  SUPUESTAMENTE EXPEDIDA POR AFIANZADORA SOFIMEX  S.A. DE C.V.","	PRESTACIîN DEL SERVICIO DE ADMINISTRACIîN DE PERSONAL EVENTUAL ESPECIALIZADO","	SANCIONATORIA CON MULTA E INHABILITACIîN","	10/07/2012","	21/06/2012","	1 A„O","	344760.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
DONCEL CONSULTORES S.C.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0007/2012","	60 FRACCIîN IV  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PòBLICO. <br>PROPORCIONî INFORMACIîN FALSA EN LA CELEBRACIîN DEL CONTRATO CS-GTM-08/2010  DERIVADO DE LA LICITACIîN PòBLICA LPN-11290002-004-101  PARA LA PRESTACIîN DEL SERVICIO DE ADMINISTRACIîN DE PERSONAL EVENTUAL ESPECIALIZADO  CONVOCADA POR EL INSTITUTO NACIONAL DE ASTROFêSICA  îPTICA Y ELECTRîNICA  AL EXHIBIR UNA FIANZA DE CUMPLIMIENTO (MP-COM-8204789-000-00)  SUPUESTAMENTE EXPEDIDA POR AFIANZADORA SOFIMEX  S.A. DE C.V.","	PRESTACIîN DEL SERVICIO DE ADMINISTRACIîN DE PERSONAL EVENTUAL ESPECIALIZADO","	SANCIONATORIA CON MULTA E INHABILITACIîN","	10/07/2012","	21/06/2012","	1 A„O","	344760.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
DONLU CONSTRUCCION EJECUTIVA Y DE CAMPO  S.A. DE C.V.,"	COMISION FEDERAL DE ELECTRICIDAD","	0043/2015","	PRESENTACIîN DE INFORMACIîN FALSA.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	30/05/2016","	27/05/2016","	3 MESES","	105150.00","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
DP SOLUCIONES EN MOBILIARIO PARA OFICINA  S.A DE C.V.,"	DICONSA","	0007/2016","	EL LA ETAPA DE PROPOSICIîN TƒCNICA  LA PRESUNTA INFRACTORA MANIFESTî BAJO PROTESTA DE DECIR VERDAD QUE LOS BIENES MATERIA DE LA LICITACIîN CUMPLEN CON LO ESTABLECIDO EN LA NORMA OFICIAL MEXICANA NOM-117-SCFI-2005  DE IGUAL FORMA  MANIFESTî BAJO PROTESTA DE DECIR VERDAD  CONOCER EL CONTENIDO Y ALCANCE DE LA CONVOCATORIA A LA LICITACIîN PòBLICA Y A LAS CONDICIONES ESTABLECIDAS EN DICHO DOCUMENTO  SIENDO EL CASO QUE AL SER REQUERIDA PARA SUSCRIBIR EL CONTRATO ADJUDICADO  LA PRESUNTA INFRACTORA  SE„ALî NO CONTAR CON DICHA NORMA  IMPOSIBILITANDO ASê LA SUSCRIPCIîN RESPECTIVA.","	LA COMPRAVENTA  DISTRIBUCION  ENAJENACIîN  IMPORTACIîN Y EXPORTACIîN DE MUEBLES PARA OFICINA  Y EN GENERAL EL MANTENIMIENTO Y REPARACIîN DE LOS MISMOS. LA COMPRAVENTE DE LOS EQUIPOS DE CîMPUTO  ACCESORIOS Y TODO AQUELLO RELACIONACON CON EL OBJETO SOCIAL.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	27/06/2017","	15/06/2017","	1 A„O","	109560.00","	ROGELIO ELIZALDE MENCHACA","	06/12/2018 08:12",
DSI AUTOMATIZACIîN  S.A. DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0012/2016","	RESCISIîN ADMINISTRATIVA DERIVADA DEL INCUMPLIMIENTO DEL CONTRATO NòMERO LPN/DASG20/2014/02-3.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	19/04/2018","	11/04/2018","	2 A„OS 6 MESES","	1051500.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
DSY SCIENTIFIC DE MƒXICO  S.A. DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0057/2016","	EL PROVEEDOR FUE SUJETO DE UNA RESCISIîN EN DOS DEPENDENCIAS  EN UN PLAZO DE  TRES A„OS. <br>ART. 60  FRACC. II  DE LA LAASSP.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	06/06/2018","	24/05/2018","	9 MESES","	339636.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
DUCTAL  S.A. DE C.V.,"	COMISION FEDERAL DE ELECTRICIDAD","	0040/2016","	PRESENTACIîN DE DOCUMENTACIîN FALSA  REFERENTE A LA CƒDULA PROFESIONAL QUE INCORPORA EN EL ANEXO T4.","	PLANEACIîN  PROYECCIîN  MANTENIMIENTO Y CONSTRUCCIîN DE CUALQUIER OBRA EN LA INICITATIVA PòBLICA O PRIVADA Y EN GENERAL CUALQUIER CLASE O TIPO  INCLUYENDO EN FORMA ENUNCIATIVA Y NO IMITATIVA  OBRA CIVIL  CASAS DE INTERƒS SOCIAL  RESIDENCIAL  NIVEL MEDIO  EDIFICIOS  NAVES INDUSTRIALES  OBRA NUEVA Y REMODELACIîN.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	01/03/2017","	28/02/2017","	1 A„O","	452848.00","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
DUO ORO  S.A. DE C.V.,"	COLEGIO NACIONAL DE EDUCACIîN PROFESIONAL TECNICA","	0005/2010","	AL 20 DE JULIO DE 2010  LA EMPRESA DUO ORO  S.A. DE C.V.  NO HA GARANTIZADO LOS TRABAJOS ART. 66 LOPSRCM.","	LA CONSTRUCCIîN DE TODO TIPO DE OBRA CIVIL  COMPRAVENTA Y COMERCIALIZACIîN DE BIENES INMUEBLES EN GENERAL  ETC.","	SANCIONATORIA CON MULTA","	02/02/2011","	24/01/2011","	","	84940.00","	ESTEBAN ALBERTO VILLAFA„E HERNçNDEZ","	06/12/2018 08:12",
DW-MED  S.A. DE C.V.,"	COMISION NACIONAL FORESTAL","	0002/2016","	NO SE PRESENTO A LA FIRMA DEL CONTRATO NI ACUDIO EN LOS 15 DIAS POSTERIORES","	","	SANCIONATORIA CON MULTA","	24/05/2017","	18/05/2017","	","	131472.00","	RICARDO DE JESòS PƒREZ PE„A","	06/12/2018 08:12",
DYJA ARQUITECTURA Y CONSTRUCCIîN S.A. DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0046/2011","	78 FRACCIîN I  DE LA LEY DE OBRAS PòBLICAS Y SERVICIOS RELACIONADOS CON LAS MISMAS.  <br>OMITIî FORMALIZAR EL CONTRATO DERIVADO DE LA LICITACIîN PòBLICA NACIONAL PRESENCIAL 09 22 5005-002-11  CONVOCADA POR EL FIDEICOMISO DE FORMACIîN Y CAPACITACIîN PARA EL PERSONAL DE LA MARINA MERCANTE NACIONAL  RELATIVA AL ÒMANTENIMIENTO A LAS INSTALACIONES DE LA ESCUELA NçUTICA MERCANTE CAP. ALT. LUIS GONZAGA PRIEGO GONZçLEZ.","	ESTUDIOS PREVIOS  DISE„O  PROYECTOS INTEGRALES  SUPERVISIîN  CONSTRUCCIîN  PODE  TALA  JARDINERêA  CONSERVACIîN  MANTENIMIENTO Y ADMINISTRACIîN DE TODO TIPO DE OBRAS CIVILES  DE INSTALACIONES ELƒCTRICAS  SANITARIAS Y ESPECIALES  DE TODO TIPO DE OBRAS YA SEA PòBLICAS O PRIVADAS.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	15/03/2012","	05/03/2012","	3 MESES","	89730.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
DYNARIC DE MEXICO  S. DE LR. DE C.V.,"	TALLERES GRAFICOS DE MEXICO","	0022/2006","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	COMERCIALIZACION DE FLEJADORES  FLEJE  BARNIZ Y TODO LO RELACIONADO CON LA INDUSTRIA DE LA IMPRESION.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	25/10/2006","	20/10/2006","	3 MESES","	75438.50","	ROBERTO MIRANDA GUTIERREZ","	06/12/2018 08:12",
E&E CONSTRUCCIONES  S.A. DE C.V.,"	FONDO NACIONAL DE FOMENTO AL TURISMO Y EMPRESAS DE PARTICIPACIîN ACCIONARIA DE LA ENTIDAD","	0001/2015","	HABER PROPORCIONADO INFORMACIîN FALSA EN LA CELEBRACIîN DEL CONTRATO Y/O CONVENIO MODIFICATORIO GSCO-SD-C-086/2010  CELEBRADO CON FONATUR CONSTRUCTORA  S.A. DE C.V.  EL VEINTIUNO DE ENERO DE DOS MIL ONCE  EN SUS CLçUSULAS PRIMERA  SEGUNDA Y TERCERA  YA QUE EN EL ACTA DE LA AUDIENCIA DE CONCILIACIîN CELEBRADA ANTE LA SECRETARêA DE LA FUNCIîN PòBLICA  EL TRES DE NOVIEMBRE DE DOS MIL ONCE  SE HIZO CONSTAR QUE EL REPRESENTANTE LEGAL DE LA ALUDIDA EMPRESA RECONOCIî QUE DURANTE LA VIGENCIA DEL REFERIDO CONTRATO MODIFICATORIO NO HUBO PERMANENCIA DE MAQUINARIA EN EL LUGAR DE LOS TRABAJOS  EN TANTO  DICHO INSTRUMENTO CONTRACTUAL òNICAMENTE SE SUSCRIBIî PARA PODER COBRAR LOS SERVICIOS EN EXCESO QUE SE REALIZARON DURANTE LA VIGENCIA DEL CONTRATO GSCO-AD-C-086/2010","	SERVICIO INTEGRAL DE SUMINISTRO DE MAQUINARIA PARA CONSTRUCCIîN","	SANCIONATORIA CON MULTA E INHABILITACIîN","	03/03/2016","	02/03/2016","	3 MESES","	94721.00","	CARLOS RICARDO PE„ALOZA MARTINEZ","	06/12/2018 08:12",
EA FASHION  S.A. DE C.V.,"	SERVICIO DE ADMINISTRACIîN TRIBUTARIA","	0007/2017","	LA EMPRESA EA FASHION  S.A. DE C.V. EN SU CALIDAD DE ADJUDICADO DENTRO DEL PROCEDIMIENTO DE ADJUDICACION DIRECTA NACIONAL DE BIENES NUMERO ADNB-008-2017  RELATIVA A LA ADQUISICION DE JUEGO DE PANS (CHAMARRA Y PANTALON) Y GORRA 2017  OMITIO FORMALIZAR EL CONTRATO DENTRO DE LOS QUINCE DIAS NATURALES SIGUIENTES A LA NOTIFICACION DE LA ADJUDICACION.","	COMERCIALIZACION Y MAQUILA DE TEXTILES Y PLASTICOS.","	SANCIONATORIA CON MULTA","	05/10/2018","	01/10/2018","	","	113235.00","	GERMçN EMMANUEL SALINAS VALDƒS","	06/12/2018 08:12",
ECCONSER S.A. DE C.V.,"	AEROPUERTO  INTERNACIONAL DE LA CIUDAD DE MEXICO S.A. DE C.V.","	0011/2011","	LA EMPRESA PROPORCIONA INFORMACIîN FALSA  RESPECTO A CƒDULAS PROFESIONALES DE LOS PROFESIONALES SOLICITADOS","	CONSTRUCCIîN","	SANCIONATORIA CON MULTA E INHABILITACIîN","	16/10/2012","	16/10/2012","	3 MESES","	89730.00","	DANIEL GATICA MENDOZA","	06/12/2018 08:12",
ECOSISTEMAS CONSERVACIîN Y OBRAS  S.A. DE C.V.,"	PEMEX GAS Y PETROQUIMICA BASICA","	0021/2012","	LA MORAL PRESENTî ESTADOS FINANCIEROS FALSOS","	REALIZACIîN DE TODA CLASE DE CONSTRUCCIONES","	SANCIONATORIA CON MULTA E INHABILITACIîN","	07/01/2013","	24/12/2012","	8 MESES","	246637.86","	","	06/12/2018 08:12",
EDGAR ANTONIO VELAZQUEZ GONZALEZ,"	BANCO DEL AHORRO NACIONAL Y SERVICIOS FINANCIEROS S.N.C.","	0001/2009","	INCUMPLIMIENTO A OBLIGACIONES CONTRACTUALES  CONSISTENTES PRINCIPALMENTE EN LA DEFICIENTE SUPERVISION AL PROYECTO DE OBRA (CONSTRUCCION DEL EDIFICIO ANEXO AL CORPORATIVO ALPINA)","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	30/06/2010","	29/06/2010","	2 A„OS 5 MESES","	86190.00","	LIC. ANDRƒS ESPINOSA CRUZ","	06/12/2018 08:12",
EDGAR TEJADA GARCIA,"	INSTITUTO MEXICANO DEL PETROLEO","	0112/2006","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	CONSULTOR PROFESIONAL","	SANCIONATORIA CON MULTA E INHABILITACIîN","	19/01/2007","	11/01/2007","	3 MESES","	72540.00","	MYRIAM MARIA GUADALUPE MACIEL JASSO","	06/12/2018 08:12",
EDITORIAL CARTON  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0034/2003","	PROBABLE FALSEDAD EN SU MANIFESTACION SOBRE SU SITUACION FISCAL","	COMPRE Y VENTA DE LIBROS  REVISTA Y EDICION DE LOS MISMOS  ASI COMO TODO LO RELACIONDO A LA PRESTACION DE SERVICIOS PUBLICITARIOS.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	13/09/2006","	06/09/2006","	3 MESES","	62542.50","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
EDITORIAL MƒXICO DESCONOCIDO  S.A. DE C.V.,"	INSTITUTO POLITECNICO NACIONAL","	0013/2006","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	ES LA PRODUCCIîN  PUBLICACIîN Y VENTA DE TODA CLASE DE OBRAS CIENTêFICAS  LITERARIAS  ARTISTICAS Y EN ESPECIAL DIDçCTICAS  EN FORMAS DE LIBROS IMPRESOS  PLANOS  MAPAS   FOTOGRAFêAS GRABADOS  DSCOS FONOGRçFICOS Y CUAL QUIER OTRA CLASE DE MATERIALES AUDIO VISUALE  SEA CUAL FUERE EL PROCEDIMIENTO O REPRODUCCIîN  BIEN SEA CONOCIDO EN EN LA ACTUALIDAD O SE DESCUBRA EN EL FUTURO  ASê COMO PELICULAS CINEMATOGRçFICAS EDUCATIVAS  ENTRE OTROS.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	11/01/2007","	20/12/2006","	3 MESES","	70200.00","	OSCAR ALEJANDRO BASURTO CORA","	06/12/2018 08:12",
EDUARDO LîPEZ GARCêA,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0153/2007","	FALTA DE FORMALIZACIîN DEL CONTRATO NO. D50612.","	FABRICACION  COMERCIALIZACION  COMPRA Y VENTA DE TODO LO PERMITIDO POR LA LEY","	SANCIONATORIA CON MULTA","	04/08/2010","	21/07/2010","	","	14508.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
EDUARDO MONTIEL GARCêA,"	COMISION FEDERAL DE ELECTRICIDAD","	0019/2016","	PRESENTACIîN DE INFORMACIîN FALSA AL SER SOCIO DE UNA EMPRESA QUE PARTICIPA EN EL MISMO PROCEDIMIENTO DE CONTRATACIîN.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	23/11/2016","	22/11/2016","	1 A„O","	423632.00","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
EEXCO ESTRUCTURAS EXCAVACIONES Y CONSTRUCCIîN  S.A. DE C.V.,"	SECRETARIA DE COMUNICACIONES Y TRANSPORTES","	0005/2012","	OMITIî FORMALIZAR EL CONTRATO QUE LE FUERA ADJUDICADO MEDIANTE FALLO DE VEINTINUEVE DE MARZO DE DOS MIL DOCE  DICTADO EN LA LICITACIîN PòBLICA NACIONAL LO-009000963-N28-2012  ASê COMO DE PRESENTAR LAS GARANTêAS DE ANTICIPO Y CUMPLIMIENTO CORRESPONDIENTES.","	CONSTRUCCIîN  DISE„O  ASESORêA  COORDINACIîN  DIRECCIîN ADMINISTRACIîN  PLANEACIîN  PROGRAMACIîN  PRESUPUESTACIîN Y EJECUCIîN DE TODA CLASE DE OBRAS CIVILES","	SANCIONATORIA CON MULTA E INHABILITACIîN","	27/02/2013","	22/02/2013","	3 MESES","	93495.00","	HECTOR MANUEL MONTES GAYTAN","	06/12/2018 08:12",
EFICIENCIA MEXICANA PUBLICITARIA S. A DE C.V.,"	SECRETARIA DE MEDIO AMBIENTE Y RECURSOS NATURALES","	0003/2007","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	FABRICACIîN DE PRODUCTOS TEXTILES","	SANCIONATORIA CON MULTA E INHABILITACIîN","	05/03/2007","	26/02/2007","	3 MESES","	73005.00","	LUZ MARIA GARCIA RANGEL","	06/12/2018 08:12",
